,Location,airTemperature,precipitation,time,windSpeed
0,New York,26.42,0.0,2019-07-13T01:00:00+00:00,4.19
1,New York,25.59,0.0,2019-07-13T02:00:00+00:00,4.31
2,New York,24.76,0.0,2019-07-13T03:00:00+00:00,4.44
3,New York,24.16,0.0,2019-07-13T04:00:00+00:00,4.42
4,New York,23.55,0.0,2019-07-13T05:00:00+00:00,4.4
5,New York,22.95,0.0,2019-07-13T06:00:00+00:00,4.38
6,New York,22.52,0.0,2019-07-13T07:00:00+00:00,4.1
7,New York,22.08,0.0,2019-07-13T08:00:00+00:00,3.81
8,New York,21.65,0.0,2019-07-13T09:00:00+00:00,3.53
9,New York,22.09,0.0,2019-07-13T10:00:00+00:00,3.33
10,New York,22.54,0.0,2019-07-13T11:00:00+00:00,3.14
11,New York,22.98,0.0,2019-07-13T12:00:00+00:00,2.94
12,New York,24.62,0.0,2019-07-13T13:00:00+00:00,3.03
13,New York,26.27,0.0,2019-07-13T14:00:00+00:00,3.13
14,New York,27.91,0.0,2019-07-13T15:00:00+00:00,3.22
15,New York,29.23,0.0,2019-07-13T16:00:00+00:00,3.12
16,New York,30.56,0.0,2019-07-13T17:00:00+00:00,3.03
17,New York,31.88,0.0,2019-07-13T18:00:00+00:00,2.93
18,New York,32.33,0.0,2019-07-13T19:00:00+00:00,3.14
19,New York,32.78,0.0,2019-07-13T20:00:00+00:00,3.36
20,New York,33.22,0.0,2019-07-13T21:00:00+00:00,3.57
21,New York,31.77,0.0,2019-07-13T22:00:00+00:00,3.38
22,New York,30.31,0.0,2019-07-13T23:00:00+00:00,3.19
23,New York,30.53,0.07,2019-07-31T01:00:00+00:00,2.84
24,New York,30.09,0.04,2019-07-31T02:00:00+00:00,2.95
25,New York,29.65,0.0,2019-07-31T03:00:00+00:00,3.05
26,New York,28.72,0.0,2019-07-31T04:00:00+00:00,2.44
27,New York,27.78,0.0,2019-07-31T05:00:00+00:00,1.84
28,New York,26.85,0.0,2019-07-31T06:00:00+00:00,1.23
29,New York,26.65,0.0,2019-07-31T07:00:00+00:00,1.08
30,New York,26.46,0.0,2019-07-31T08:00:00+00:00,0.92
31,New York,26.26,0.0,2019-07-31T09:00:00+00:00,0.77
32,New York,26.52,0.06,2019-07-31T10:00:00+00:00,0.77
33,New York,26.78,0.12,2019-07-31T11:00:00+00:00,0.76
34,New York,27.04,0.18,2019-07-31T12:00:00+00:00,0.76
35,New York,28.71,0.24,2019-07-31T13:00:00+00:00,1.08
36,New York,30.38,0.3,2019-07-31T14:00:00+00:00,1.41
37,New York,32.05,0.36,2019-07-31T15:00:00+00:00,1.73
38,New York,32.24,0.8,2019-07-31T16:00:00+00:00,2.39
39,New York,32.43,1.25,2019-07-31T17:00:00+00:00,3.06
40,New York,32.62,1.69,2019-07-31T18:00:00+00:00,3.72
41,New York,30.53,2.57,2019-07-31T19:00:00+00:00,3.74
42,New York,28.44,3.44,2019-07-31T20:00:00+00:00,3.77
43,New York,26.35,4.32,2019-07-31T21:00:00+00:00,3.79
44,New York,26.39,2.9,2019-07-31T22:00:00+00:00,3.45
45,New York,26.44,1.49,2019-07-31T23:00:00+00:00,3.1
46,New York,28.42,0.07,2019-08-02T01:00:00+00:00,1.81
47,New York,27.78,0.04,2019-08-02T02:00:00+00:00,1.75
48,New York,27.15,0.0,2019-08-02T03:00:00+00:00,1.69
49,New York,26.83,0.01,2019-08-02T04:00:00+00:00,1.61
50,New York,26.5,0.02,2019-08-02T05:00:00+00:00,1.54
51,New York,26.18,0.04,2019-08-02T06:00:00+00:00,1.46
52,New York,25.57,0.02,2019-08-02T07:00:00+00:00,1.74
53,New York,24.96,0.01,2019-08-02T08:00:00+00:00,2.01
54,New York,24.35,0.0,2019-08-02T09:00:00+00:00,2.29
55,New York,24.37,0.06,2019-08-02T10:00:00+00:00,2.22
56,New York,24.4,0.12,2019-08-02T11:00:00+00:00,2.16
57,New York,24.42,0.18,2019-08-02T12:00:00+00:00,2.09
